Muestra,Tension_U,Tension_V,Tension_W
249,0.000000e+00,-8.730950e-01,8.746410e-01
250,0.000000e+00,-8.730950e-01,8.746410e-01
251,0.000000e+00,-8.730950e-01,8.746410e-01
252,0.000000e+00,0.000000e+00,1.546025e-03
253,0.000000e+00,0.000000e+00,1.546025e-03
254,0.000000e+00,0.000000e+00,1.546025e-03
255,0.000000e+00,0.000000e+00,1.546025e-03
256,0.000000e+00,0.000000e+00,1.546025e-03
257,0.000000e+00,0.000000e+00,1.546025e-03
258,0.000000e+00,0.000000e+00,1.546025e-03
259,0.000000e+00,0.000000e+00,1.546025e-03
260,0.000000e+00,0.000000e+00,1.546025e-03
261,0.000000e+00,0.000000e+00,-2.717972e-05
262,0.000000e+00,0.000000e+00,-2.717972e-05
263,0.000000e+00,0.000000e+00,-2.717972e-05
264,0.000000e+00,0.000000e+00,-2.717972e-05
265,0.000000e+00,-8.730950e-01,8.730678e-01
266,0.000000e+00,-8.730950e-01,8.730678e-01
267,0.000000e+00,-8.730950e-01,8.730678e-01
268,0.000000e+00,-8.730950e-01,8.730678e-01
269,0.000000e+00,-8.730950e-01,8.730678e-01
270,0.000000e+00,-8.730950e-01,8.730678e-01
271,0.000000e+00,-8.730950e-01,8.730678e-01
272,0.000000e+00,-8.730950e-01,8.730678e-01
273,0.000000e+00,-8.730950e-01,8.730678e-01
274,0.000000e+00,-8.730950e-01,8.730678e-01
275,0.000000e+00,-8.730950e-01,8.730678e-01
276,0.000000e+00,-8.730950e-01,8.730678e-01
277,-8.745866e-01,0.000000e+00,8.730678e-01
278,-8.745866e-01,0.000000e+00,8.730678e-01
279,-8.745866e-01,0.000000e+00,8.730678e-01
280,-8.745866e-01,0.000000e+00,8.730678e-01
281,-8.745866e-01,0.000000e+00,8.730678e-01
282,-8.745866e-01,0.000000e+00,8.730678e-01
283,-8.745866e-01,0.000000e+00,8.730678e-01
284,-8.745866e-01,0.000000e+00,8.730678e-01
285,-8.745866e-01,0.000000e+00,8.730678e-01
286,-8.745866e-01,0.000000e+00,8.730678e-01
287,-8.745866e-01,0.000000e+00,8.730678e-01
288,-8.745866e-01,0.000000e+00,8.730678e-01
289,-8.745866e-01,0.000000e+00,8.730678e-01
290,0.000000e+00,-1.518846e-03,0.000000e+00
291,0.000000e+00,-1.518846e-03,0.000000e+00
292,0.000000e+00,-1.518846e-03,0.000000e+00
293,0.000000e+00,-1.518846e-03,0.000000e+00
294,0.000000e+00,1.548707e-03,0.000000e+00
295,0.000000e+00,1.548707e-03,0.000000e+00
296,0.000000e+00,1.548707e-03,0.000000e+00
297,0.000000e+00,1.548707e-03,0.000000e+00
298,0.000000e+00,1.548707e-03,0.000000e+00
299,0.000000e+00,1.548707e-03,0.000000e+00
300,0.000000e+00,1.548707e-03,0.000000e+00
301,0.000000e+00,1.548707e-03,0.000000e+00
302,0.000000e+00,1.548707e-03,0.000000e+00
303,1.548707e-03,0.000000e+00,0.000000e+00
304,1.548707e-03,0.000000e+00,0.000000e+00
305,1.548707e-03,0.000000e+00,0.000000e+00
306,1.548707e-03,0.000000e+00,0.000000e+00
307,1.548707e-03,0.000000e+00,0.000000e+00
308,1.548707e-03,0.000000e+00,0.000000e+00
309,0.000000e+00,0.000000e+00,1.548707e-03
